Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
1,6399,Software,NULL,NULL,NULL,NULL
2,59990,Software,1270.020324,1061.630736,8869.070062,21357
3,296160,Specialty Chemicals,6292.864579,2018.705686,10689.43926,34500
4,960000,Specialty Chemicals,2107.656246,2956.230233,3302.499773,5900
5,253641,Health Care  Services,8208.619341,1746.387752,11090.10531,61000
6,5257,Diversified Banks,NULL,381.1057645,3684.02239,9831
7,9690000,Software,136168.7309,60470.40059,227887.6027,647500
8,7821702,Oil & Gas Exploration & Production,5170.568097,15737.7454,6008.192301,1708
9,12487,Capital Markets,1712.726219,-458.6383927,5126.240555,7459
10,1010030,Specialty Chemicals,2724.917214,1874.182466,3694.083713,6000
11,259857,Automobiles,3608.669316,762.0176315,4667.360832,11835
12,3919161,Cement Manufacturers,2003.026598,1705.382947,2685.684083,5878
13,1.21E+07,Paper & Related Products,NULL,NULL,NULL,NULL
14,1.09E+07,Oil & Gas Storage & Transportation,2288.391551,13487.99573,3690.418312,6241
15,59474,Diversified Banks,NULL,1390.736613,27518.83084,39924
16,163769,Paper & Related Products,178.1720051,101.3182817,298.1732306,1000
17,2722,Software,297.8836927,146.7363896,2527.257403,9600
18,410664,Auto Parts,6857.5589,1653.818535,8491.90463,58000
19,716311,Specialty Chemicals,5136.710857,-1112.983375,7005.317375,30180
20,2030000,Industrial Conglomerates,3697.398121,1941.520858,5107.437078,NULL
21,1043546,Paper & Related Products,1875.696249,5910.681708,3617.379371,37000
22,706954,Oil & Gas Equipment & Services,17800.49286,6094.3032,22385.89825,66000
23,73726,Specialty Chemicals,429.9937978,190.1671146,629.8611095,1135
24,258732.9,Diversified Banks,NULL,7802.274379,49782.80664,125627
25,51168.67,Diversified Banks,NULL,2196.659536,61643.61044,98605
26,49439,Diversified Banks,NULL,532.7119474,3342.960448,16067
27,30849,Diversified Banks,NULL,367.378986,3079.845583,NULL
28,23318,Diversified Banks,NULL,1135.18207,6967.58265,31040
29,29048.3,Diversified Banks,NULL,988.3304108,3850.193685,9796
30,141414,Diversified Banks,NULL,2266.593595,24834.04943,45454
31,10490,Capital Markets,NULL,1792.672361,18775.11167,51300
32,125466,Diversified Banks,NULL,2081.264868,31262.39733,97629
33,20273,Regional Banks,NULL,NULL,NULL,NULL
34,6621.12,Diversified Banks,NULL,435.3255662,3267.190848,7961
35,351051,Diversified Banks,NULL,29953.75823,99459.36562,188759
36,249942,Diversified Banks,NULL,3298.185709,37472.14238,83500
37,5450000,Specialty Chemicals,19644.26986,14948.5849,45716.52362,116998
38,1120325,Automobiles,85002.75361,67412.99028,112576.3331,134682
39,390661,Auto Parts,8120.747082,2841.463974,10305.81116,30000
40,1983378,Paper & Related Products,2701.72947,1482.477416,3675.369753,7400
41,144221.44,Computer Storage & Peripherals,3595.379412,1032.136239,6085.952976,37769
42,3.81E+07,Cement Manufacturers,21205.46547,18471.225,30948.70451,90000
43,59868,Diversified Banks,NULL,4838,33257,45680
44,2.50E+07,Oil & Gas Exploration & Production,12079.92901,48741.75855,15875.2917,9709
45,1126159,Computer Storage & Peripherals,18758.81911,9670.14079,35028.47609,195056
46,170695,Regional Banks,NULL,4101.031585,31819.9344,47600
47,960405,Paper & Related Products,3016.962269,1892.018881,3509.974372,11700
48,4.71E+07,Cement Manufacturers,9412.848202,11428.58499,14097.58019,42024
49,2320000,Oil & Gas Exploration & Production,8184.449577,8821.474527,10044.64071,2350
50,2.35E+07,Cement Manufacturers,6345.577546,4635.292465,8151.159739,13083
51,46222,Regional Banks,NULL,464.8031503,3501.190888,8051
52,87000,Regional Banks,NULL,773.0410289,5068.800671,15693
53,5035.830078,Diversified Banks,NULL,132.9592674,2326.916096,6759
54,96017,Diversified Banks,NULL,1955.941337,31911.60811,45753
55,424000,Oil & Gas Equipment & Services,911.3629394,191.1390792,1168.326174,5099
56,1920,Diversified Banks,NULL,1739.228125,18615.2843,18830
57,36756,Diversified Banks,NULL,848.4372857,3664.21413,10810
58,31708,Capital Markets,2442.213172,1495.648579,6528.546221,15196
59,542129.47,Auto Parts,6804.718121,1810.285954,7968.193796,30900
60,27794.53,Software,788.0805264,205.7971128,4015.930865,16055
61,16396,Diversified Banks,NULL,1203.656444,14199.05534,20683
62,156599,Diversified Banks,NULL,-2795.930473,44275.25091,91737
63,49686,Diversified Banks,NULL,1031.360607,13346.76364,26000
64,665641,Specialty Chemicals,8424.092296,3753.652389,14353.31699,49000
65,75426,Regional Banks,NULL,2327.929883,7320.404984,17437
66,109143,Regional Banks,NULL,2362.178537,6254.782604,19969
67,4662679,Automobiles,134628.5201,63895.26591,156896.0158,199000
68,38724.88,Capital Markets,2092.689048,528.0082251,6186.282535,9700
69,766000,Health Care  Services,13154.25927,4430.077345,19109.90877,112658
70,678838.99,Automobiles,22796.84881,6383.340472,28122.1155,34200
71,169364,Specialty Chemicals,NULL,NULL,3002.981374,6500
72,5669085,Automobiles,122467.3126,80549.89668,143892.2915,173000
73,1.54E+07,Cement Manufacturers,2170.740937,2033.628133,3665.768625,11175
74,11555,Regional Banks,NULL,308.1540231,1295.506848,3713
75,1309109,Oil & Gas Equipment & Services,20557.99871,8768.633747,23479.89809,60000
76,20706.2,Diversified Banks,NULL,3809.242147,8248.11419,10352
77,144249,Automobiles,3661.919817,884.7229514,5594.150547,5300
